amount,amountVirusDiagnosis,date,positiveAmount
9930,8593,2020-04-30T00:00:00.000Z,142
11052,9221,2020-05-01T00:00:00.000Z,116
5568,4761,2020-05-02T00:00:00.000Z,57
8029,7400,2020-05-03T00:00:00.000Z,27
9257,7954,2020-05-04T00:00:00.000Z,53
8957,7687,2020-05-05T00:00:00.000Z,32
9467,8546,2020-05-06T00:00:00.000Z,65
10119,9130,2020-05-07T00:00:00.000Z,61
8157,7187,2020-05-08T00:00:00.000Z,33
3868,3508,2020-05-09T00:00:00.000Z,19
4944,4410,2020-05-10T00:00:00.000Z,29
9216,7827,2020-05-11T00:00:00.000Z,39
7538,6681,2020-05-12T00:00:00.000Z,23
8272,7525,2020-05-13T00:00:00.000Z,39
8416,7679,2020-05-14T00:00:00.000Z,22
5696,5073,2020-05-15T00:00:00.000Z,12
1502,1343,2020-05-16T00:00:00.000Z,5
4633,4219,2020-05-17T00:00:00.000Z,15
7692,6797,2020-05-18T00:00:00.000Z,28
7142,6502,2020-05-19T00:00:00.000Z,22
5968,5620,2020-05-20T00:00:00.000Z,15
6164,5601,2020-05-21T00:00:00.000Z,17
4995,4616,2020-05-22T00:00:00.000Z,19
718,670,2020-05-23T00:00:00.000Z,5
3808,3439,2020-05-24T00:00:00.000Z,13
5333,4850,2020-05-25T00:00:00.000Z,22
6819,6514,2020-05-26T00:00:00.000Z,50
6728,6442,2020-05-27T00:00:00.000Z,40
5352,5030,2020-05-28T00:00:00.000Z,77
1863,1803,2020-05-29T00:00:00.000Z,113
1059,1041,2020-05-30T00:00:00.000Z,29
5640,5499,2020-05-31T00:00:00.000Z,87
8155,7907,2020-06-01T00:00:00.000Z,100
11757,11577,2020-06-02T00:00:00.000Z,121
13209,13042,2020-06-03T00:00:00.000Z,97
14899,14728,2020-06-04T00:00:00.000Z,142
16474,16351,2020-06-05T00:00:00.000Z,125
11537,11442,2020-06-06T00:00:00.000Z,78
15098,14891,2020-06-07T00:00:00.000Z,140
14644,14488,2020-06-08T00:00:00.000Z,179
15064,14867,2020-06-09T00:00:00.000Z,173
18484,18166,2020-06-10T00:00:00.000Z,240
15809,15564,2020-06-11T00:00:00.000Z,191
13132,12879,2020-06-12T00:00:00.000Z,184
6987,6847,2020-06-13T00:00:00.000Z,149
8840,8635,2020-06-14T00:00:00.000Z,136
14436,14109,2020-06-15T00:00:00.000Z,198
16239,15924,2020-06-16T00:00:00.000Z,298
16024,15638,2020-06-17T00:00:00.000Z,271
17392,16940,2020-06-18T00:00:00.000Z,302
12787,12448,2020-06-19T00:00:00.000Z,309
6010,5778,2020-06-20T00:00:00.000Z,159
9152,8909,2020-06-21T00:00:00.000Z,173
14009,13460,2020-06-22T00:00:00.000Z,345
19847,19162,2020-06-23T00:00:00.000Z,451
18393,17869,2020-06-24T00:00:00.000Z,487
18666,17979,2020-06-25T00:00:00.000Z,515
16531,16120,2020-06-26T00:00:00.000Z,464
10489,10051,2020-06-27T00:00:00.000Z,398
10389,9890,2020-06-28T00:00:00.000Z,385
21017,20258,2020-06-29T00:00:00.000Z,757
20840,20148,2020-06-30T00:00:00.000Z,787
21460,20829,2020-07-01T00:00:00.000Z,971
25041,24264,2020-07-02T00:00:00.000Z,1145
20951,20464,2020-07-03T00:00:00.000Z,939
17308,16701,2020-07-04T00:00:00.000Z,821
21112,20276,2020-07-05T00:00:00.000Z,831
25601,24748,2020-07-06T00:00:00.000Z,1134
28634,27699,2020-07-07T00:00:00.000Z,1390
29420,28594,2020-07-08T00:00:00.000Z,1327
29988,28903,2020-07-09T00:00:00.000Z,1525
25829,24765,2020-07-10T00:00:00.000Z,1409
20468,19246,2020-07-11T00:00:00.000Z,1168
21762,20292,2020-07-12T00:00:00.000Z,1238
29246,27476,2020-07-13T00:00:00.000Z,1720
31750,29978,2020-07-14T00:00:00.000Z,1604
30692,27917,2020-07-15T00:00:00.000Z,1877
31078,28453,2020-07-16T00:00:00.000Z,1939
25732,23581,2020-07-17T00:00:00.000Z,1603
20457,18212,2020-07-18T00:00:00.000Z,1448
19846,17815,2020-07-19T00:00:00.000Z,1016
27608,24492,2020-07-20T00:00:00.000Z,1886
30177,26766,2020-07-21T00:00:00.000Z,2006
28807,25715,2020-07-22T00:00:00.000Z,2044
32536,29284,2020-07-23T00:00:00.000Z,1990
24400,22697,2020-07-24T00:00:00.000Z,1830
15486,14636,2020-07-25T00:00:00.000Z,1112
12204,11428,2020-07-26T00:00:00.000Z,1042
28245,27244,2020-07-27T00:00:00.000Z,2048
26639,25769,2020-07-28T00:00:00.000Z,2125
26228,25455,2020-07-29T00:00:00.000Z,1954
21962,21222,2020-07-30T00:00:00.000Z,1787
22898,22141,2020-07-31T00:00:00.000Z,1362
7790,7456,2020-08-01T00:00:00.000Z,625
10087,9618,2020-08-02T00:00:00.000Z,708
23469,22552,2020-08-03T00:00:00.000Z,1800
26098,25088,2020-08-04T00:00:00.000Z,1729
25792,24893,2020-08-05T00:00:00.000Z,1690
28768,27840,2020-08-06T00:00:00.000Z,1676
25309,24531,2020-08-07T00:00:00.000Z,1764
8583,8136,2020-08-08T00:00:00.000Z,754
12163,11543,2020-08-09T00:00:00.000Z,924
24368,23375,2020-08-10T00:00:00.000Z,1703
27667,26573,2020-08-11T00:00:00.000Z,1823
26234,25293,2020-08-12T00:00:00.000Z,1622
28891,27814,2020-08-13T00:00:00.000Z,1642
20915,20083,2020-08-14T00:00:00.000Z,1388
9396,8864,2020-08-15T00:00:00.000Z,757
12386,11621,2020-08-16T00:00:00.000Z,1069
26061,24894,2020-08-17T00:00:00.000Z,1649
27899,26781,2020-08-18T00:00:00.000Z,1649
28401,27240,2020-08-19T00:00:00.000Z,1640
28854,27849,2020-08-20T00:00:00.000Z,1487
27217,26362,2020-08-21T00:00:00.000Z,1493
11059,10519,2020-08-22T00:00:00.000Z,714
13297,12608,2020-08-23T00:00:00.000Z,965
30139,28801,2020-08-24T00:00:00.000Z,1900
34052,32817,2020-08-25T00:00:00.000Z,1955
34254,33072,2020-08-26T00:00:00.000Z,1956
36428,35196,2020-08-27T00:00:00.000Z,2071
23288,22355,2020-08-28T00:00:00.000Z,1831
10708,10172,2020-08-29T00:00:00.000Z,910
13553,12913,2020-08-30T00:00:00.000Z,1103
31969,30654,2020-08-31T00:00:00.000Z,2179
28465,27524,2020-09-01T00:00:00.000Z,2252
35981,34579,2020-09-02T00:00:00.000Z,3192
35227,33980,2020-09-03T00:00:00.000Z,2662
31548,30737,2020-09-04T00:00:00.000Z,2621
15945,15293,2020-09-05T00:00:00.000Z,1507
19671,18725,2020-09-06T00:00:00.000Z,2180
41454,40015,2020-09-07T00:00:00.000Z,3390
45675,44400,2020-09-08T00:00:00.000Z,3529
46406,45111,2020-09-09T00:00:00.000Z,3995
48750,47381,2020-09-10T00:00:00.000Z,4164
43704,42787,2020-09-11T00:00:00.000Z,3983
30572,29784,2020-09-12T00:00:00.000Z,2717
34979,33876,2020-09-13T00:00:00.000Z,3173
47549,46284,2020-09-14T00:00:00.000Z,4802
57761,56304,2020-09-15T00:00:00.000Z,5523
54187,52915,2020-09-16T00:00:00.000Z,4559
57971,56658,2020-09-17T00:00:00.000Z,5279
28638,28003,2020-09-18T00:00:00.000Z,2385
